game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-03-28,87.6,2.21,6.14,"Ragans, Cole",650489,666142,force_out,hit_into_play,9,R,L,KC,MIN,X,6,ground_ball,1,2,0.3,2.01,NA,NA,571657,2,6,Top,3.56,1.67,5,100.2,-22,87.8,2461,44,5,Slider,1,2,2,1
2024-03-28,93,-1.32,4.91,"Webb, Logan",640492,657277,strikeout,swinging_strike,13,R,R,SD,SF,S,2,NA,0,2,-1.08,1.7,665487,673490,NA,2,6,Bot,3.22,1.56,NA,NA,NA,93.5,1800,48,4,Sinker,2,1,2,1
2024-03-28,82.6,-1.46,4.81,"Webb, Logan",640492,657277,NA,foul,14,R,R,SD,SF,S,NA,NA,0,2,0.95,1.46,665487,673490,NA,2,6,Bot,3.22,1.56,73,66,6,83.5,2579,48,3,Sweeper,2,1,2,1
2024-03-28,86.4,1.92,6.15,"Ragans, Cole",650489,666142,NA,ball,14,R,L,KC,MIN,B,NA,NA,0,2,0.33,1.43,NA,NA,571657,2,6,Top,3.46,1.64,NA,NA,NA,86.2,2208,44,4,Changeup,1,2,2,1
2024-03-28,82.8,-1.51,4.88,"Webb, Logan",640492,657277,NA,swinging_strike,6,R,R,SD,SF,S,NA,NA,0,1,0.33,2.49,665487,NA,673490,2,6,Bot,3.22,1.56,NA,NA,NA,83.6,2688,48,2,Sweeper,2,1,2,1
2024-03-28,96.6,1.95,6.41,"Ragans, Cole",650489,666142,NA,foul,2,R,L,KC,MIN,S,NA,NA,0,2,0.06,3.67,NA,NA,571657,2,6,Top,3.56,1.67,NA,NA,NA,96,2476,44,3,4-Seam Fastball,1,2,2,1
2024-03-28,86.4,1.98,6.2,"Ragans, Cole",650489,666142,NA,foul,8,R,L,KC,MIN,S,NA,NA,0,1,-0.26,2.23,NA,NA,571657,2,6,Top,3.56,1.67,NA,NA,NA,85.6,2092,44,2,Changeup,1,2,2,1
2024-03-28,82.7,-1.5,4.87,"Webb, Logan",640492,657277,NA,swinging_strike,14,R,R,SD,SF,S,NA,NA,0,0,1.33,2.27,665487,NA,673490,2,6,Bot,3.22,1.56,NA,NA,NA,83.8,2597,48,1,Sweeper,2,1,2,1
2024-03-28,80.2,2.08,6.36,"Ragans, Cole",650489,666142,NA,called_strike,5,R,L,KC,MIN,S,NA,NA,0,0,0.02,2.84,NA,NA,571657,2,6,Top,3.43,1.63,NA,NA,NA,79.4,2207,44,1,Knuckle Curve,1,2,2,1
2024-03-28,88.2,-1.47,4.86,"Webb, Logan",673490,657277,NA,ball,13,R,R,SD,SF,B,NA,NA,2,1,-0.86,2.22,665487,NA,NA,2,6,Bot,3.37,1.64,NA,NA,NA,89.6,1422,47,4,Changeup,2,1,2,1
