game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-04-03,90.1,-2.36,5.3,"Eovaldi, Nathan",623912,543135,strikeout,swinging_strike,13,R,R,TB,TEX,S,2,NA,2,2,-1.04,1.09,NA,NA,NA,2,7,Bot,3.25,1.49,NA,NA,NA,89.6,1641,50,6,Split-Finger,0,1,0,1
2024-04-03,97.3,-2.4,5.22,"Eovaldi, Nathan",623912,543135,NA,ball,14,R,R,TB,TEX,B,NA,NA,1,2,1.36,1.52,NA,NA,NA,2,7,Bot,3.26,1.56,NA,NA,NA,96.3,2270,50,5,4-Seam Fastball,0,1,0,1
2024-04-03,77.9,-2.1,5.47,"Eovaldi, Nathan",623912,543135,NA,ball,14,R,R,TB,TEX,B,NA,NA,0,2,1.03,0.07,NA,NA,NA,2,7,Bot,3.26,1.53,NA,NA,NA,77.9,2022,50,4,Curveball,0,1,0,1
2024-04-03,96.7,-2.49,5.03,"Eovaldi, Nathan",623912,543135,NA,foul,6,R,R,TB,TEX,S,NA,NA,0,2,0.32,2.6,NA,NA,NA,2,7,Bot,3.25,1.49,267,91.2,18,97.7,2209,50,3,4-Seam Fastball,0,1,0,1
2024-04-03,83.6,-1.44,6.15,"Glasnow, Tyler",642731,607192,field_out,hit_into_play,5,R,R,LAD,SF,X,5,ground_ball,1,2,0.06,2.63,NA,624424,NA,2,6,Top,3.39,1.67,26,59.6,-2,86,2888,48,7,Curveball,4,3,3,4
2024-04-03,83.6,-0.87,6.1,"Burnes, Corbin",666023,669203,strikeout,swinging_strike,14,R,R,BAL,KC,S,2,NA,2,2,1.56,1.05,NA,NA,NA,1,6,Top,3.2,1.53,NA,NA,NA,84.1,3008,42,8,Curveball,0,2,2,0
2024-04-03,93.6,-1.29,5.93,"Montas, Frankie",592206,593423,walk,ball,11,R,R,PHI,CIN,B,NA,NA,3,1,-2.33,2.92,NA,592663,681082,2,6,Bot,3.89,1.92,NA,NA,NA,93.2,2230,50,5,Sinker,1,3,1,3
2024-04-03,84.6,-1.25,5.96,"Montas, Frankie",592206,593423,NA,ball,13,R,R,PHI,CIN,B,NA,NA,2,1,-1.66,2.66,NA,592663,681082,2,6,Bot,3.81,1.85,NA,NA,NA,84.1,1669,50,4,Split-Finger,1,3,1,3
2024-04-03,95.9,-1.12,5.91,"Burnes, Corbin",666023,669203,NA,foul,9,R,R,BAL,KC,S,NA,NA,2,2,0.44,1.76,NA,NA,NA,1,6,Top,3.2,1.53,1,84.9,-52,96.8,2852,42,7,Cutter,0,2,2,0
2024-04-03,88.2,-2.42,5.41,"Eovaldi, Nathan",623912,543135,NA,foul_tip,13,R,R,TB,TEX,S,NA,NA,0,1,-0.88,1.86,NA,NA,NA,2,7,Bot,3.25,1.49,NA,NA,NA,88.6,1724,50,2,Split-Finger,0,1,0,1
2024-04-03,95.9,-1.44,6,"Glasnow, Tyler",642731,607192,NA,foul,1,R,R,LAD,SF,S,NA,NA,1,2,-0.7,3.17,NA,624424,NA,2,6,Top,3.39,1.67,213,68.4,28,98.4,2671,48,6,4-Seam Fastball,4,3,3,4
2024-04-03,95.4,-0.98,6.02,"Burnes, Corbin",666023,669203,NA,foul,2,R,R,BAL,KC,S,NA,NA,2,2,0.13,3.3,NA,NA,NA,1,6,Top,3.2,1.53,186,85.7,62,96.1,2740,42,6,Cutter,0,2,2,0
