game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-05-02,92.1,1.98,5.42,"Allen, Logan",572138,671106,home_run,hit_into_play,6,L,L,HOU,CLE,X,NA,fly_ball,2,1,0.55,2.4,665161,NA,NA,2,6,Bot,3.18,1.47,345,100.1,43,91.9,2237,49,4,4-Seam Fastball,1,2,1,2
2024-05-02,79.7,1.96,5.44,"Allen, Logan",572138,671106,NA,ball,13,L,L,HOU,CLE,B,NA,NA,1,1,-1.1,1.88,665161,NA,NA,2,6,Bot,3.38,1.53,NA,NA,NA,79.3,2265,49,3,Sweeper,1,2,1,2
2024-05-02,86.2,2.04,5.44,"Allen, Logan",572138,671106,NA,ball,13,L,L,HOU,CLE,B,NA,NA,0,1,-1.77,1.82,665161,NA,NA,2,6,Bot,3.32,1.51,NA,NA,NA,86.1,2268,49,2,Cutter,1,2,1,2
2024-05-02,92.6,2.02,4.76,"Harrison, Kyle",608701,690986,grounded_into_double_play,hit_into_play,12,R,L,BOS,SF,X,4,ground_ball,1,0,0.94,2.71,NA,NA,641933,1,5,Bot,3.58,1.61,15,100.1,-9,93.5,2194,40,2,4-Seam Fastball,1,1,1,1
2024-05-02,91.7,1.99,5.54,"Allen, Logan",572138,671106,NA,swinging_strike,2,L,L,HOU,CLE,S,NA,NA,0,0,0.02,3.14,665161,NA,NA,2,6,Bot,3.18,1.47,NA,NA,NA,91.3,2205,49,1,4-Seam Fastball,1,2,1,2
2024-05-02,81.2,2.06,5.37,"Allen, Logan",673237,671106,strikeout,swinging_strike,14,R,L,HOU,CLE,S,2,NA,0,2,1.22,1.28,665161,NA,NA,1,6,Bot,3.22,1.52,NA,NA,NA,80.6,684,48,6,Changeup,1,2,1,2
2024-05-02,92.1,1.91,4.76,"Harrison, Kyle",608701,690986,NA,ball,14,R,L,BOS,SF,B,NA,NA,0,0,1.18,1.97,NA,NA,641933,1,5,Bot,3.5,1.62,NA,NA,NA,92.7,2185,40,1,4-Seam Fastball,1,1,1,1
2024-05-02,84.6,-1.17,4.84,"Arrighetti, Spencer",686823,681293,single,hit_into_play,2,L,R,HOU,CLE,X,9,line_drive,0,0,0,2.91,NA,NA,NA,2,6,Top,3.3,1.51,275,84.9,25,86.2,1709,44,1,Changeup,1,2,2,1
2024-05-02,93.2,1.84,4.96,"Harrison, Kyle",641933,690986,walk,ball,11,R,L,BOS,SF,B,NA,NA,3,1,-1.26,3.49,NA,NA,NA,1,5,Bot,3.24,1.51,NA,NA,NA,93.2,2208,39,5,4-Seam Fastball,1,1,1,1
2024-05-02,86.1,-1.26,4.87,"Arrighetti, Spencer",647304,681293,double_play,hit_into_play,6,L,R,HOU,CLE,X,9,line_drive,1,1,0.56,2.03,NA,NA,608070,0,6,Top,3.16,1.47,277,106.9,13,87.2,2393,43,3,Cutter,1,2,2,1
