game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-06-14,99.8,-1.92,5.78,"Greene, Hunter",686217,668881,field_out,hit_into_play,6,L,R,MIL,CIN,X,6,fly_ball,2,1,0.58,2.12,592885,NA,642715,2,5,Bot,2.89,1.32,212,72.2,50,100.7,2487,49,4,4-Seam Fastball,2,5,2,5
2024-06-14,96.8,3.04,5.3,"Sale, Chris",656577,519242,field_out,hit_into_play,7,R,L,ATL,TB,X,1,ground_ball,2,2,-0.59,2.19,NA,680700,NA,2,7,Top,3.46,1.66,9,76.8,-12,97.2,2222,59,5,Sinker,7,2,2,7
2024-06-14,90,1.08,6.73,"Anderson, Tyler",624424,542881,single,hit_into_play,2,L,L,SF,LAA,X,7,line_drive,1,0,0.27,2.79,NA,NA,527038,1,6,Bot,3.15,1.48,189,84.3,14,89.6,2215,58,2,4-Seam Fastball,1,8,1,8
2024-06-14,88.7,-1.83,5.88,"Greene, Hunter",686217,668881,NA,blocked_ball,14,L,R,MIL,CIN,B,NA,NA,1,1,0.22,0.96,592885,NA,642715,2,5,Bot,2.85,1.44,NA,NA,NA,90,1338,49,3,Split-Finger,2,5,2,5
2024-06-14,81.6,3.12,5.26,"Sale, Chris",656577,519242,NA,blocked_ball,13,R,L,ATL,TB,B,NA,NA,1,2,-0.99,0.81,NA,680700,NA,2,7,Top,3.55,1.66,NA,NA,NA,81.6,2424,59,4,Slider,7,2,2,7
2024-06-14,98.5,-2.85,5.55,"Gil, Luis",807799,661563,field_out,hit_into_play,4,L,R,BOS,NYY,X,4,ground_ball,2,2,-0.35,2.15,NA,680776,646240,2,5,Bot,3.25,1.43,35,106.3,-2,99.8,2656,48,5,4-Seam Fastball,1,5,1,5
2024-06-14,88.1,1.04,6.68,"Anderson, Tyler",624424,542881,NA,ball,12,L,L,SF,LAA,B,NA,NA,0,0,0.96,2.5,NA,NA,527038,1,6,Bot,3.33,1.63,NA,NA,NA,88.1,2151,58,1,4-Seam Fastball,1,8,1,8
2024-06-14,79.7,1.4,6.67,"Anderson, Tyler",624585,542881,strikeout,swinging_strike,9,R,L,SF,LAA,S,2,NA,2,2,0.62,2.07,NA,NA,527038,0,6,Bot,3.63,1.73,NA,NA,NA,79.4,1878,57,6,Changeup,1,8,1,8
2024-06-14,99,-1.91,5.88,"Greene, Hunter",686217,668881,NA,ball,12,L,R,MIL,CIN,B,NA,NA,0,1,1.38,2.47,592885,NA,642715,2,5,Bot,2.89,1.23,NA,NA,NA,99.7,2400,49,2,4-Seam Fastball,2,5,2,5
2024-06-14,82.5,3.14,5.22,"Sale, Chris",656577,519242,NA,foul,9,R,L,ATL,TB,S,NA,NA,1,1,0.5,1.69,NA,680700,NA,2,7,Top,3.46,1.66,156,75.1,65,82.6,2482,59,3,Slider,7,2,2,7
