game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-07-05,87.1,-1.9,5.64,"Skenes, Paul",664056,694973,strikeout,swinging_strike,14,R,R,PIT,NYM,S,2,NA,0,2,1.31,2.14,NA,NA,578428,2,7,Top,3.23,1.52,NA,NA,NA,87.2,2440,52,3,Slider,4,2,2,4
2024-07-05,83.8,-1.97,5.85,"Skenes, Paul",664056,694973,NA,called_strike,2,R,R,PIT,NYM,S,NA,NA,0,1,0.26,3.17,NA,NA,578428,2,7,Top,3.23,1.64,NA,NA,NA,84.4,2458,52,2,Curveball,4,2,2,4
2024-07-05,85.4,1.02,6.18,"Ragans, Cole",678662,666142,strikeout,swinging_strike_blocked,13,R,L,COL,KC,S,2,NA,0,2,-0.3,0.75,NA,NA,NA,2,7,Bot,3.04,1.34,NA,NA,NA,86.4,2759,56,4,Slider,2,2,2,2
2024-07-05,98.3,-1.75,5.9,"Skenes, Paul",664056,694973,NA,called_strike,12,R,R,PIT,NYM,S,NA,NA,0,0,0.12,3.38,NA,NA,578428,2,7,Top,3.12,1.5,NA,NA,NA,98.7,2310,52,1,4-Seam Fastball,4,2,2,4
2024-07-05,97.7,0.63,6.28,"Ragans, Cole",678662,666142,NA,foul,4,R,L,COL,KC,S,NA,NA,0,2,-0.29,2.15,NA,NA,NA,2,7,Bot,3.04,1.34,227,72.9,49,98.4,2564,56,3,4-Seam Fastball,2,2,2,2
2024-07-05,95.9,-2.53,5.43,"Gausman, Kevin",668942,592332,strikeout,swinging_strike,4,L,R,SEA,TOR,S,2,NA,1,2,-0.32,2.76,NA,NA,664034,2,6,Bot,3.49,1.65,NA,NA,NA,96.5,2445,47,4,4-Seam Fastball,2,1,2,1
2024-07-05,96.1,0.66,6.33,"Ragans, Cole",678662,666142,NA,foul,7,R,L,COL,KC,S,NA,NA,0,1,-0.34,1.35,NA,NA,NA,2,7,Bot,3.04,1.34,NA,NA,NA,96.6,2672,56,2,4-Seam Fastball,2,2,2,2
2024-07-05,98.8,-2.49,5.78,"Skenes, Paul",643446,694973,field_out,hit_into_play,4,L,R,PIT,NYM,X,9,line_drive,1,1,-0.41,2.27,NA,NA,578428,1,7,Top,3.45,1.63,308,105.7,15,99.1,2301,51,3,4-Seam Fastball,4,2,2,4
2024-07-05,87.4,-1.92,4.71,"Castillo, Luis",662139,622491,walk,ball,11,L,R,SEA,TOR,B,NA,NA,3,2,-1.99,2.44,NA,NA,NA,2,7,Top,3.05,1.33,NA,NA,NA,86.1,1825,50,7,Changeup,2,1,1,2
2024-07-05,95.8,-2.59,5.43,"Gausman, Kevin",668942,592332,NA,swinging_strike,5,L,R,SEA,TOR,S,NA,NA,1,1,0.11,2.54,NA,NA,664034,2,6,Bot,3.49,1.65,NA,NA,NA,96.3,2341,47,3,4-Seam Fastball,2,1,2,1
2024-07-05,74.9,1.15,6.19,"Fried, Max",592206,608331,field_out,hit_into_play,2,R,L,ATL,PHI,X,1,ground_ball,0,2,0.21,3.52,NA,NA,NA,2,6,Top,3.78,1.79,6,83.2,-29,74.5,2740,49,3,Curveball,2,5,5,2
