game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score
2024-08-21,91.2,-2.69,6.29,"Spence, Mitch",664040,687765,strikeout,swinging_strike,3,L,R,OAK,TB,S,2,NA,2,2,0.6,3.31,676356,NA,NA,2,7,Top,3.2,1.46,NA,NA,NA,91.1,2687,52,6,Cutter,2,4,4,2
2024-08-21,82.1,-2.26,6.42,"Spence, Mitch",664040,687765,NA,blocked_ball,14,L,R,OAK,TB,B,NA,NA,1,2,1.05,-0.02,676356,NA,NA,2,7,Top,3.07,1.09,NA,NA,NA,81.4,2884,52,5,Curveball,2,4,4,2
2024-08-21,88.7,3.41,4.64,"Cortes, Nestor",647304,641482,field_out,hit_into_play,5,L,L,NYY,CLE,X,5,ground_ball,2,2,-0.16,2.18,NA,NA,NA,2,7,Top,3.09,1.43,107,58.8,13,88.2,2082,51,7,Sinker,7,0,0,7
2024-08-21,93.4,0.58,5.87,"Cortes, Nestor",647304,641482,NA,foul,11,L,L,NYY,CLE,S,NA,NA,2,2,-1.03,3.26,NA,NA,NA,2,7,Top,3.09,1.43,239,74.7,33,93.2,2128,51,6,4-Seam Fastball,7,0,0,7
2024-08-21,91.9,-2.57,6.27,"Spence, Mitch",664040,687765,NA,foul,12,L,R,OAK,TB,S,NA,NA,1,2,1.17,2.61,676356,NA,NA,2,7,Top,3.2,1.46,84,61.2,77,92.1,2667,52,4,Cutter,2,4,4,2
2024-08-21,81.4,-2.39,6.43,"Spence, Mitch",664040,687765,NA,foul,14,L,R,OAK,TB,S,NA,NA,1,1,0.56,1.26,676356,NA,NA,2,7,Top,3.2,1.46,NA,NA,NA,80.9,2856,52,3,Curveball,2,4,4,2
2024-08-21,94,0.7,5.85,"Cortes, Nestor",647304,641482,NA,foul,12,L,L,NYY,CLE,S,NA,NA,2,2,0.35,3.33,NA,NA,NA,2,7,Top,3.09,1.43,155,75.2,74,93.7,2264,51,5,4-Seam Fastball,7,0,0,7
2024-08-21,79.3,-0.43,6.48,"Woods Richardson, Simeon",630105,680573,strikeout,called_strike,4,L,R,SD,MIN,S,2,NA,1,2,-0.34,2.54,NA,NA,NA,2,5,Bot,3.39,1.6,NA,NA,NA,79.7,2652,52,4,Curveball,1,10,1,10
2024-08-21,90.1,-2.57,6.21,"Spence, Mitch",664040,687765,NA,swinging_strike,14,L,R,OAK,TB,S,NA,NA,1,0,1.18,2.12,676356,NA,NA,2,7,Top,3.2,1.46,NA,NA,NA,90.5,2664,52,2,Cutter,2,4,4,2
2024-08-21,85.9,1.22,5.57,"Cortes, Nestor",647304,641482,NA,swinging_strike,4,L,L,NYY,CLE,S,NA,NA,2,1,-0.59,2.06,NA,NA,NA,2,7,Top,3.09,1.43,NA,NA,NA,85.7,2368,51,4,Cutter,7,0,0,7
2024-08-21,89.4,-2.51,6.29,"Spence, Mitch",664040,687765,NA,ball,11,L,R,OAK,TB,B,NA,NA,0,0,-0.28,4.19,676356,NA,NA,2,7,Top,3.24,1.38,NA,NA,NA,90,2734,52,1,Cutter,2,4,4,2
2024-08-21,91.6,-1.71,4.97,"Nola, Aaron",657656,605400,single,hit_into_play,8,R,R,ATL,PHI,X,9,ground_ball,0,0,0.14,1.89,NA,NA,606115,1,6,Bot,3.37,1.55,7,107.1,-15,92.8,2229,47,1,Sinker,2,2,2,2
2024-08-21,71.1,2.68,4.86,"Cortes, Nestor",647304,641482,NA,ball,13,L,L,NYY,CLE,B,NA,NA,1,1,-0.06,1.07,NA,NA,NA,2,7,Top,2.95,1.46,NA,NA,NA,69.6,2613,51,3,Sweeper,7,0,0,7
2024-08-21,85.7,-1.69,5.7,"Gilbert, Logan",669257,669302,walk,ball,11,R,R,LAD,SEA,B,NA,NA,3,2,-1.05,3.46,NA,606192,666158,2,5,Bot,3.38,1.62,NA,NA,NA,87.2,1972,44,6,Slider,5,1,5,1
2024-08-21,95.4,-0.72,6.33,"Woods Richardson, Simeon",630105,680573,NA,swinging_strike,14,L,R,SD,MIN,S,NA,NA,1,1,1.22,1.81,NA,NA,NA,2,5,Bot,3.35,1.6,NA,NA,NA,96.1,2252,52,3,4-Seam Fastball,1,10,1,10
