key_mlbam,name_first,name_last
472542,Adolfito,Garcia
572962,Stephen,Kaupang
456789,Phillip,Tyson
664660,Dagin,Ramirez
670448,Sam,Dexter
808910,Bryan,Webb
491538,Richie,Cormier
444362,Lavon,Lewis
605152,Jed,Bradley
445392,Raymond,Knight
801406,Jared,Dickey
NA,Megan,McReynolds
809029,Andre,Jackson
685118,Mike,Koenig
594972,Garrett,Rau
827445,Joel,Lara
NA,Spencer,Hemphill
NA,Randy,Righter
665999,Miguel,Figueroa
801244,Roosevelt,Trinidad
NA,Cesar,Pena
595105,Matt,Abraham
702084,Lukas,Ray
453185,Chase,Lirette
659162,Colter,Moore
NA,Avery,Stephens
804704,Jacob,Marx
542167,Juan,Mojica
456063,Jose,Ramirez
553885,Cruz,Pereira
NA,Connor,Gibson
607981,Jason,Smith
602728,Miguel,Montero
678417,Christian,Reyes
821822,Johmphy,De La Cruz
NA,Nick,Cummings
523249,Jose,Rangel
623297,Charles,Galiano
687479,Nick,Grande
NA,Tanner,Harper
NA,Humberto,Morales
NA,Jake,Ivory
641492,Canaan,Cropper
661436,Freddy,Tineo
446663,Pedro,Maldonado
499543,Ronald,Bermudez
703126,Matt,Harrison
527042,Yubing,Jia
NA,Carson,Holin
633709,Alan,Ramirez
NA,Alex,Pagano
465392,Estanislao,Vallejo
490562,John,Jefferson
451605,Scott,Koerber
810004,Liam,Golden
808663,Esteban,Dicent
702990,Jevarra,Martin
695805,Landon,Dieterich
NA,Craig,Keuchel
NA,Riku,Watanabe
606241,Welinton,Cairo
702071,Joe,Gahm
594987,Casey,Sadler
808360,Ariel,Lebron
574729,Luis,Melgar
446956,Tony,Cancio
NA,David,Odquist
NA,Pablo,Bermudez
NA,Harry,Tooze
NA,Mike,August
691349,Ricardo,Rivera
446468,Andy,Sides
671122,Mason,Doolittle
NA,Evan,Bergman
NA,Caleb,Lammle
NA,JuJu,Lacewell-Cason
663602,Ryan,Cyr
823142,Caleb,Gray
572280,Beau,Wright
680911,Owen,Miller
445944,Dom,Laurin
NA,Juan,Carela
592821,Tyler,Vail
NA,Ross,Danzig
699059,Maximo,Martinez
NA,Jairon,Larrinaga
NA,Shintaro,Tanaka
475467,Sean,Ratliff
545859,Andrew,Sweet
407900,Miguel,Asencio
669242,Tommy,Edman
NA,Greg,Sillivent
NA,Christian,Adorno
822026,Ryan,Limerick
NA,Rob,Koski
NA,Miquel,Willem
460588,Rafael,Cruz
NA,Roche,De Saedeleer
800425,Maikel,Hernandez
NA,Tanner,Kane
657570,Onas,Farfan
NA,Min Jun,Lee
NA,Travis,McQueen
NA,Samuel,Bermúdez
NA,Luis,Paublini
684685,Chance,Benton
NA,Gota,Kuniki
NA,Colby,Fortin
NA,Gunner,Hellstrom
NA,Ben,Closson
NA,Kevin,Franchetti
NA,Auguste,Guern
NA,Roberto,Rodriguez
682064,Steffon,Moore
NA,Beau,Thompson
541635,Julio,Torres
695726,Alex,Ulloa
NA,Kyle,Ward
NA,Myles,Richard
570655,Pedro,Nivar
NA,Donovan,Clark
663762,Dallas,Woolfolk
NA,Paolino,Ambrosino
NA,Garrett,Ruckel
NA,Caleb,Cook
NA,Joe,Shannon
NA,Adrian,Betancourt
491689,Alexis,Marte
576148,Fermin,Montanez
703231,James,Meeker
461788,Ozzie,Chavez
814160,Colin,Roos
506074,Yasuhiro,Ichiba
660636,Diego,Castillo
446766,Stephen,Green
699210,Jose,Felix
621125,Damion,Carroll
NA,Chris,Dabbs
684969,Kel,Bordwine
672671,Geremy,Galindez
NA,Darrick,Brilz
669327,Tanner,Allen
811733,Chris,Leone
NA,Luke,Cureton
641988,Alex,Powers
NA,Hunter,Morgan
660699,Julio,Martinez
643248,Dimitri,Casas
670439,Nick,Hill
NA,Mikey,Brinton
NA,Satoshi,Miyamori
689302,Karson,Simas
NA,Casey,Harford
542228,Roeldwin,Reyes
NA,Bobby,Sabatino
687147,Pat,McGowan
NA,Matt,Grace
NA,Wes,Moody
571922,Tobin,Mateychick
NA,Yordanis,Rodríguez
701577,Aaron,Funk
NA,Brayden,Stewart
823409,Joshua,Martinez
NA,JD,Bogart
811952,Jake,Marshall
NA,Jung Yong,Yi
NA,Rob,Mouton
NA,Jin Young,Jeon
669319,Cole,Cabrera
822364,Kevin,Hall
826509,Anderson,Ortiz
816194,Matt,Retamoza
NA,Kenta,Tamayama
NA,Yuma,Yasuda
807711,Jeonguk,Choi
488779,Israel,Chirino
571768,Jordan,Henry
503446,Luis,Jimenez
665535,Brian,Pirela
691497,Lizandro,Rodriguez
828554,Preston,Prince
NA,Yu Liang,Cheng
NA,Johnny,Fageaux
815110,Jhemiangel,Tovar
810924,Griffin,Parrill
NA,Soo Jong,Park
520828,Jerry,Gonzalez-Lopez
NA,Trevor,Scott
NA,Alex,Ryan
692429,Jorge,Perez
NA,Connor,Leedholm
596044,Ryan,Meyer
471689,Nat,Anderson
NA,Jay,Graham
NA,Matt,MacDowell
504187,Kevin,Salmon
